,,,M5,M1,M1,M2,M2,M3,M3,M4,M4,M6,M6,M7,M7
,,,sum,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
llm_type,temperature,workflow,,,,,,,,,,,,,
non_reasoning,0.0,mas,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.402,0.038,661.686,5.155,3.0,0.0
non_reasoning,0.0,pair,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.629,0.095,1390.95,35.739,5.0,0.0
non_reasoning,0.5,mas,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.468,0.037,681.761,242.108,3.75,0.957
non_reasoning,0.5,pair,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.947,0.03,1191.535,51.65,4.0,0.0
non_reasoning,1.0,mas,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.493,0.277,690.699,153.056,4.6,1.342
non_reasoning,1.0,pair,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.053,0.119,1096.73,93.94,6.0,0.0
reasoning,0.0,mas,2.0,1.0,0.0,0.2,0.0,1.0,0.0,0.348,0.021,652.29,451.855,5.0,0.0
reasoning,0.0,pair,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,38.6,0.679,1.0,0.0
reasoning,0.5,mas,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.013,0.03,224.706,119.1,5.8,1.095
reasoning,0.5,pair,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.663,0.119,912.271,660.651,2.8,1.643
reasoning,1.0,mas,2.0,1.0,0.0,0.02,0.045,1.0,0.0,0.054,0.12,728.649,619.263,6.0,1.871
reasoning,1.0,pair,0.0,1.0,0.0,0.004,0.009,1.0,0.0,0.04,0.089,435.165,608.669,1.0,0.0
